id,name,location,start,end,ongoing,method,changedMethod,success,progress
378,KDPI (first separatist movement),Iran,1945,1946,False,1,False,0,5
432,Popular Revolutionary Movement (Bolivia),Bolivia,1946,1946,False,0,False,1,4
368,Punnapra-Vayalar Uprising,Princely State of Travencore,1946,1946,False,0,False,0,5
166,Paraguay leftist rebellion,Paraguay,1947,1947,False,0,False,0,5
216,Taiwanese Revolt,Taiwan,1947,1947,False,0,False,0,5
83,Franco-Madagascan,Madagascar,1947,1948,False,0,False,0,5
96,Hyderabad Accession Movement,Hyderabad,1947,1948,False,0,False,1,4
109,Jewish resistance,Palestine,1945,1948,False,0,False,1,4
146,National Union Party,Costa Rica,1948,1948,False,0,False,1,4
244,Yahya Family revolt,Yemen,1948,1948,False,0,False,1,4
425,Chinese Communist Revolution,China,1946,1949,False,0,False,1,4
401,Greek Civil War,Greece,1946,1949,False,0,True,0,5
101,Indonesian Revolt,Indonesia,1945,1949,False,0,False,1,4
364,Laotian Independence Movement,Laos,1946,1949,False,0,False,1,4
238,Ukrainian rebellion,USSR,1945,1949,False,0,False,0,5
380,"Meza Brali (Forest Brothers, Latvian anti-occupation campaign)",Latvia,1945,1950,False,0,False,0,5
137,Moluccans,Indonesia,1950,1950,False,0,False,0,5
153,Nigerian Independence Movement,Nigeria,1945,1950,False,1,False,0,5
58,Convention People's Party movement,Ghana,1948,1951,False,1,False,0,5
44,Bolivian Leftists,Bolivia,1952,1952,False,0,False,1,4
199,Shifta insurgency,Eritrea,1945,1952,False,0,False,0,5
355,Telangana People's Movement,India,1948,1952,False,0,False,0,5
74,East Gemany Worker Uprising,East Germany,1953,1953,False,1,False,0,5
129,Liberals of 1949,Colombia,1946,1953,False,0,True,0,5
376,"Metsavennad (Forest Brothers, Estonian Anti-Occupation Campaign)",Estonia,1945,1953,False,0,False,0,5
371,Cambodian Independence Movement,Cambodia (Kampuchea),1946,1954,False,0,False,1,4
56,Conservative movement,Guatemala,1954,1954,False,0,False,1,4
91,Hukbalahap Rebellion,Philippines,1946,1954,False,0,False,0,5
100,Indochina revolt,Vietnam,1945,1954,False,0,False,1,4
232,Tunisian independence movement,Tunisia,1952,1954,False,0,True,1,4
362,Revolucion Libertadora,Argentina,1955,1955,False,0,False,1,4
93,Hungary Anti-Communist,Hungary,1956,1956,False,1,False,0,5
94,Hungary Anti-Soviet Occupation,Hungary,1956,1956,False,1,False,0,5
134,Mau Mau Rebellion,Kenya,1952,1956,False,0,False,0,5
381,"Mikso Broliai (Forest Brothers, Lithuanian Anti-Occupation Campaign)",Lithuania,1945,1956,False,0,False,0,5
140,Moroccan Independence War,Morocco,1953,1956,False,1,True,1,4
177,Poznan Protests,Poland,1956,1956,False,1,False,0,5
366,First Pathet Lao ,Laos,1950,1957,False,0,False,0,5
92,Hundred Flowers Movement,China,1956,1957,False,1,False,0,5
19,Anti-Jimenez,Venezuela,1957,1958,False,1,False,1,4
28,Anti-Shamun,Lebanon,1958,1958,False,0,False,0,5
98,Ifni war,Morocco,1957,1958,False,0,False,0,5
51,Cameroon anti-colonialist movement,Cameroon,1955,1959,False,0,True,1,4
62,Cuban Revolution,Cuba,1956,1959,False,0,False,1,4
77,Ethniki Organosis Kyprios Agoniston,Cyprus,1954,1959,False,0,True,1,4
157,Nyasaland African Congress,Malawi,1958,1959,False,1,False,0,5
197,Shammar Tribe and pro-Western officers,Iraq,1959,1959,False,0,False,0,5
228,Tibetan resistance,Tibet,1956,1959,False,0,False,0,5
246,Yemeni insurgency,Yemen,1955,1959,False,0,False,0,5
102,Indonesian leftists / Anti Sukarno,Indonesia,1956,1960,False,0,False,0,5
131,Malayan Emergency,Malaysia,1948,1960,False,0,False,0,5
214,South Korea Student Revolution,South Korea,1960,1960,False,1,False,1,4
186,Rwandan independence,Rwanda,1956,1961,False,0,False,1,4
6,Algerian Revolt/ National Liberation Front,Algeria,1952,1962,False,0,True,1,4
383,Brunei Revolt,Brunei,1962,1962,False,0,False,0,5
65,Darul Islam,Indonesia,1949,1962,False,0,False,0,5
405,Myanmar Regime Change Campaign,Myanmar/Burma,1948,1962,False,0,False,0,5
178,Pro-French Nationalists,France,1960,1962,False,0,False,0,5
34,Armed Forces for National Liberation (FALN),Venezuela,1958,1963,False,0,False,0,5
82,Former Rebel Leaders,Algeria,1962,1963,False,0,False,0,5
210,South Africa First Defiance Campaign,South Africa,1952,1963,False,0,True,0,5
249,Zambia Anti-occupation,Zambia,1960,1963,False,1,False,1,4
413,Cameroon anti-Ahidjo government movement,Cameroon,1960,1964,False,0,False,0,5
