country,country_name,indicator,year,value,source_flag,source,unit
BE,Belgium,I_IUSNET,2014,52.43,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2015,66.72,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2016,69.31,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2017,72.02,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2018,72.6,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2019,75.53,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2020,78.9,u,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2021,62.78,b,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2022,67.84,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2023,68.48,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2024,72.26,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUSNET,2025,67.68,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2014,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2015,4.85,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2016,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2017,5.48,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2018,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2019,5.21,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2020,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2021,4.95,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2022,6.24,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2023,5.96,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2024,7.95,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOTE,2025,5.74,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2014,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2015,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2016,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2017,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2018,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2019,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2020,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2021,9.53,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2022,10.44,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2023,10.85,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2024,11.0,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUPOL2,2025,7.58,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2014,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2015,8.07,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2016,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2017,8.71,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2018,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2019,8.32,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2020,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2021,12.15,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2022,13.34,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2023,13.62,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2024,14.58,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUCPP,2025,10.78,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2014,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2015,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2016,10.66,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2017,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2018,21.01,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2019,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2020,34.57,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2021,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2022,43.4,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2023,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2024,46.74,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,I_IUVOD,2025,,,Eurostat: isoc_ci_ac_i,percent
BE,Belgium,deprivation,2015,7.2,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2016,8.4,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2017,7.2,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2018,6.5,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2019,6.2,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2020,6.7,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2021,6.2,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2022,5.7,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2023,6.1,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2024,6.2,,Eurostat: ilc_mdsd11,percent
BE,Belgium,deprivation,2025,4.9,,Eurostat: ilc_mdsd11,percent
BG,Bulgaria,I_IUSNET,2014,39.57,,Eurostat: isoc_ci_ac_i,percent
BG,Bulgaria,I_IUSNET,2015,42.15,,Eurostat: isoc_ci_ac_i,percent
BG,Bulgaria,I_IUSNET,2016,45.03,,Eurostat: isoc_ci_ac_i,percent
BG,Bulgaria,I_IUSNET,2017,49.95,,Eurostat: isoc_ci_ac_i,percent
BG,Bulgaria,I_IUSNET,2018,51.36,,Eurostat: isoc_ci_ac_i,percent
