statement_id,statement,group,base_n,extremely_well_pct,very_well_pct,somewhat_well_pct,not_too_well_pct,not_at_all_well_pct,skipped_pct,extremely_plus_very_pct,fieldwork_start,fieldwork_end,source_page,source_url
Qtk_3,The Epstein files show that powerful people in the U.S. are rarely held accountable for their actions,All US adults,1117,49,20,17,4,7,3,69,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_3,The Epstein files show that powerful people in the U.S. are rarely held accountable for their actions,Republican,352,31,26,28,5,8,2,57,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_3,The Epstein files show that powerful people in the U.S. are rarely held accountable for their actions,Democrat,300,63,18,8,4,6,2,81,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_3,The Epstein files show that powerful people in the U.S. are rarely held accountable for their actions,Independent / other,465,51,17,15,4,7,6,68,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_2,The Epstein files have lowered my trust in the country's political and business leaders,All US adults,1117,33,20,24,9,10,4,53,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_2,The Epstein files have lowered my trust in the country's political and business leaders,Republican,352,15,18,35,15,14,3,33,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_2,The Epstein files have lowered my trust in the country's political and business leaders,Democrat,300,44,26,17,5,6,2,70,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_2,The Epstein files have lowered my trust in the country's political and business leaders,Independent / other,465,37,18,20,8,10,6,55,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_1,I feel shocked by the information in the Epstein files,All US adults,1117,18,16,26,21,15,4,34,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_1,I feel shocked by the information in the Epstein files,Republican,352,10,15,26,29,17,4,25,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_1,I feel shocked by the information in the Epstein files,Democrat,300,25,21,22,17,13,2,46,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_1,I feel shocked by the information in the Epstein files,Independent / other,465,19,13,28,18,16,6,32,2026-02-13,2026-02-16,14,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_4,It's time for the country to move on from talking about the Epstein files,All US adults,1117,11,10,18,18,40,3,21,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_4,It's time for the country to move on from talking about the Epstein files,Republican,352,20,21,26,16,15,2,41,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_4,It's time for the country to move on from talking about the Epstein files,Democrat,300,4,5,12,16,62,1,9,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
Qtk_4,It's time for the country to move on from talking about the Epstein files,Independent / other,465,9,6,16,20,43,6,15,2026-02-13,2026-02-16,15,https://www.ipsos.com/sites/default/files/ct/news/documents/2026-02/Reuters%20Ipsos%20Core%20Political%20Topline%20February%202026_1.pdf
